match_id,group_letter,match_date_utc,venue,home_team,away_team,home_team_model_name,away_team_model_name,home_team_was_resolved,away_team_was_resolved,home_historical_matches,away_historical_matches,home_last_10_points_per_match,away_last_10_points_per_match,last_10_points_per_match_diff,home_last_10_goal_diff_per_match,away_last_10_goal_diff_per_match,last_10_goal_diff_per_match_diff,home_fifa_rank,away_fifa_rank,fifa_rank_diff,home_fifa_points,away_fifa_points,fifa_points_diff,home_squad_status,away_squad_status,home_squad_players,away_squad_players,home_overall_star_power_z,away_overall_star_power_z,overall_star_power_diff,home_attack_vs_away_defense_diff,away_attack_vs_home_defense_diff,home_international_event_matches,away_international_event_matches,home_matched_club_players,away_matched_club_players,expected_total_corners,expected_total_yellow_cards,expected_total_red_cards,has_complete_strength_features,has_complete_squad_features,has_complete_event_features,has_complete_fifa_rankings
34,F,2026-06-20 17:00:00,"NRG Stadium, Houston",Netherlands,Sweden,Netherlands,Sweden,False,True,877,1099,2.4,1.4,1.0,2.4,-0.2,2.6,7,38,-31,1757.87,1514.77,243.0999999999999,final_or_near_final,final_or_near_final,26.0,26.0,0.223,-1.845,2.068,2.186,-0.8039999999999998,27,13,23.0,15.0,9.324,3.736,0.181,True,True,True,True
13,H,2026-06-15 16:00:00,"Mercedes-Benz Stadium, Atlanta",Spain,Cabo Verde,Spain,Cape Verde,False,True,781,233,2.4,1.7,0.7,2.3,0.7,1.5999999999999999,2,69,-67,1876.4,1366.13,510.27,final_or_near_final,final_or_near_final,26.0,26.0,-0.449,-0.791,0.342,-0.06599999999999998,-0.2250000000000001,24,10,24.0,1.0,9.17,3.183,0.039,True,True,True,True
1,A,2026-06-11 19:00:00,"Estadio Azteca, Mexico City",Mexico,South Africa,Mexico,South Africa,False,False,1000,477,1.4,1.5,-0.10000000000000009,0.1,0.4,-0.30000000000000004,15,60,-45,1681.03,1429.73,251.29999999999995,preliminary_or_reduced,final_or_near_final,51.0,26.0,1.291,-1.94,3.231,1.574,-3.362,15,13,5.0,1.0,9.237,3.44,0.141,True,True,True,True
4,D,2026-06-13 01:00:00,"SoFi Stadium, Los Angeles",USA,Paraguay,United States,Paraguay,True,False,788,782,1.6,1.4,0.20000000000000018,0.1,0.0,0.1,16,40,-24,1673.13,1503.5,169.6300000000001,final_or_near_final,preliminary_or_reduced,26.0,55.0,0.212,-0.935,1.147,0.23099999999999998,-2.258,0,23,12.0,4.0,9.078,3.91,0.147,True,True,True,True
9,E,2026-06-14 17:00:00,"NRG Stadium, Houston",Germany,Curaçao,Germany,Curaçao,False,False,1029,383,2.1,1.3,0.8,1.2,0.3,0.8999999999999999,10,82,-72,1730.37,1294.65,435.7199999999998,final_or_near_final,final_or_near_final,26.0,26.0,0.06,-1.312,1.372,0.753,-1.6509999999999998,26,10,25.0,0.0,9.374,2.908,0.122,True,True,True,True
42,I,2026-06-22 21:00:00,"Lincoln Financial Field, Philadelphia",France,Iraq,France,Iraq,False,True,933,652,2.5,2.0,0.5,1.6,0.4,1.2000000000000002,1,57,-56,1877.32,1447.14,430.17999999999984,final_or_near_final,preliminary_or_reduced,26.0,34.0,-0.316,0.023,-0.339,-1.0250000000000001,0.07400000000000001,28,16,24.0,0.0,8.927,3.735,0.277,True,True,True,True
43,I,2026-06-23 00:00:00,"MetLife Stadium, East Rutherford",Norway,Senegal,Norway,Senegal,False,False,870,636,2.3,2.5,-0.20000000000000018,2.5,1.9,0.6000000000000001,31,14,17,1550.94,1688.99,-138.04999999999995,final_or_near_final,preliminary_or_reduced,26.0,28.0,-0.051,0.475,-0.526,0.444,0.8009999999999999,8,17,15.0,20.0,7.661,2.756,0.036,True,True,True,True
33,F,2026-06-20 04:00:00,"Estadio BBVA, Monterrey",Tunisia,Japan,Tunisia,Japan,False,False,676,789,1.4,2.0,-0.6000000000000001,0.4,1.1,-0.7000000000000001,44,18,26,1483.05,1660.43,-177.3800000000001,final_or_near_final,final_or_near_final,26.0,26.0,-2.435,-0.131,-2.3040000000000003,-2.6660000000000004,1.066,16,29,7.0,12.0,9.111,3.416,0.113,True,True,True,True
59,D,2026-06-26 02:00:00,"SoFi Stadium, Los Angeles",USA,Turkiye,United States,Turkey,True,True,788,640,1.6,2.2,-0.6000000000000001,0.1,0.7,-0.6,16,22,-6,1673.13,1599.04,74.09000000000015,final_or_near_final,preliminary_or_reduced,26.0,35.0,0.212,-0.133,0.345,-0.757,-1.252,0,8,12.0,9.0,9.938,3.599,0.132,True,True,True,True
8,C,2026-06-14 01:00:00,"Gillette Stadium, Boston",Haiti,Scotland,Haiti,Scotland,False,False,508,849,1.3,1.6,-0.30000000000000004,0.1,0.6,-0.5,83,43,40,1291.71,1498.35,-206.63999999999987,final_or_near_final,final_or_near_final,26.0,26.0,-0.423,0.166,-0.589,-1.054,-0.29400000000000004,10,6,4.0,10.0,10.183,3.964,0.244,True,True,True,True
51,C,2026-06-24 22:00:00,"Hard Rock Stadium, Miami",Scotland,Brazil,Scotland,Brazil,False,False,849,1057,1.6,1.7,-0.09999999999999987,0.6,1.0,-0.4,43,6,37,1498.35,1761.16,-262.8100000000002,final_or_near_final,final_or_near_final,26.0,26.0,0.166,0.696,-0.5299999999999999,-1.2690000000000001,-0.5230000000000001,6,40,10.0,15.0,10.215,4.167,0.296,True,True,True,True
7,C,2026-06-13 22:00:00,"MetLife Stadium, East Rutherford",Brazil,Morocco,Brazil,Morocco,False,False,1057,614,1.7,2.4,-0.7,1.0,1.3,-0.30000000000000004,6,8,-2,1761.16,1755.87,5.290000000000191,final_or_near_final,final_or_near_final,26.0,26.0,0.696,-0.59,1.286,0.017000000000000015,-1.7,40,18,15.0,14.0,8.712,4.057,0.181,True,True,True,True
31,C,2026-06-19 22:00:00,"Gillette Stadium, Boston",Scotland,Morocco,Scotland,Morocco,False,False,849,614,1.6,2.4,-0.7999999999999998,0.6,1.3,-0.7000000000000001,43,8,35,1498.35,1755.87,-257.52,final_or_near_final,final_or_near_final,26.0,26.0,0.166,-0.59,0.756,-1.389,-2.3600000000000003,6,18,10.0,14.0,9.664,3.969,0.298,True,True,True,True
21,K,2026-06-17 17:00:00,"NRG Stadium, Houston",Portugal,Congo DR,Portugal,DR Congo,False,True,693,522,2.1,2.3,-0.19999999999999973,1.6,0.9,0.7000000000000001,5,46,-41,1763.83,1478.35,285.48,final_or_near_final,final_or_near_final,26.0,26.0,1.655,-0.876,2.531,3.332,-0.832,22,13,17.0,10.0,9.205,3.486,0.116,True,True,True,True
48,K,2026-06-24 02:00:00,"Estadio Akron, Guadalajara",Colombia,Congo DR,Colombia,DR Congo,False,True,636,522,1.8,2.3,-0.4999999999999998,1.1,0.9,0.20000000000000007,13,46,-33,1693.09,1478.35,214.74,final_or_near_final,final_or_near_final,26.0,26.0,0.52,-0.876,1.396,0.8500000000000001,-2.7,27,13,8.0,10.0,8.657,3.651,0.17,True,True,True,True
30,D,2026-06-19 19:00:00,"Lumen Field, Seattle",USA,Australia,United States,Australia,True,False,788,579,1.6,2.1,-0.5,0.1,0.6,-0.5,16,27,-11,1673.13,1580.67,92.46000000000004,final_or_near_final,,26.0,,0.212,,0.212,0.121,-0.465,0,25,12.0,0.0,8.718,3.147,0.107,True,False,True,True
15,H,2026-06-15 22:00:00,"Hard Rock Stadium, Miami",Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,False,False,738,970,1.3,1.6,-0.30000000000000004,-0.4,0.1,-0.5,61,17,44,1421.43,1673.07,-251.63999999999987,preliminary_or_reduced,,30.0,,-0.069,,-0.069,-0.204,-0.277,20,37,1.0,0.0,8.687,4.021,0.187,True,False,True,True
60,D,2026-06-26 02:00:00,"Levi's Stadium, Santa Clara",Paraguay,Australia,Paraguay,Australia,False,False,782,579,1.4,2.1,-0.7000000000000002,0.0,0.6,-0.6,40,27,13,1503.5,1580.67,-77.17000000000007,preliminary_or_reduced,,55.0,,-0.935,,-0.935,-1.793,0.11,23,25,4.0,0.0,8.797,3.501,0.121,True,False,True,True
20,J,2026-06-17 01:00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Argentina,Algeria,Argentina,Algeria,False,False,1066,615,2.5,2.3,0.20000000000000018,2.1,1.8,0.30000000000000004,3,28,-25,1874.81,1564.26,310.54999999999995,preliminary_or_reduced,,55.0,,2.097,,2.097,1.916,-1.5,41,17,32.0,0.0,8.901,4.219,0.152,True,False,True,True
44,J,2026-06-23 03:00:00,"Levi's Stadium, Santa Clara",Jordan,Algeria,Jordan,Algeria,False,False,483,615,1.7,2.3,-0.5999999999999999,0.5,1.8,-1.3,63,28,35,1391.45,1564.26,-172.80999999999995,preliminary_or_reduced,,30.0,,0.196,,0.196,-0.354,-0.595,11,17,1.0,0.0,9.707,3.082,0.021,True,False,True,True
11,E,2026-06-14 23:00:00,"Lincoln Financial Field, Philadelphia",Côte d'Ivoire,Ecuador,Ivory Coast,Ecuador,False,False,635,589,2.2,1.4,0.8000000000000003,1.3,0.3,1.0,34,23,11,1532.98,1594.78,-61.799999999999955,final_or_near_final,,26.0,,-0.997,,-0.997,-0.73,1.215,16,24,13.0,0.0,8.525,2.837,0.156,True,False,True,True
5,D,2026-06-13 04:00:00,"BC Place, Vancouver",Australia,Turkiye,Australia,Turkey,False,True,579,640,2.1,2.2,-0.10000000000000009,0.6,0.7,-0.09999999999999998,27,22,5,1580.67,1599.04,-18.36999999999989,,preliminary_or_reduced,,35.0,,-0.133,0.133,-0.878,-0.787,25,8,0.0,9.0,9.656,3.19,0.105,True,False,True,True
64,H,2026-06-27 00:00:00,"Estadio Akron, Guadalajara",Uruguay,Spain,Uruguay,Spain,False,False,970,781,1.6,2.4,-0.7999999999999998,0.1,2.3,-2.1999999999999997,17,2,15,1673.07,1876.4,-203.33000000000015,,final_or_near_final,,26.0,,-0.449,0.449,1.043,0.219,37,24,0.0,24.0,8.852,3.569,0.115,True,False,True,True
56,E,2026-06-25 20:00:00,"MetLife Stadium, East Rutherford",Ecuador,Germany,Ecuador,Germany,False,False,589,1029,1.4,2.1,-0.7000000000000002,0.3,1.2,-0.8999999999999999,23,10,13,1594.78,1730.37,-135.58999999999992,,final_or_near_final,,26.0,,0.06,-0.06,-0.642,-0.122,24,26,0.0,25.0,9.042,3.121,0.196,True,False,True,True
39,H,2026-06-21 22:00:00,"Hard Rock Stadium, Miami",Uruguay,Cabo Verde,Uruguay,Cape Verde,False,True,970,233,1.6,1.7,-0.09999999999999987,0.1,0.7,-0.6,17,69,-52,1673.07,1366.13,306.9399999999998,,final_or_near_final,,26.0,,-0.791,0.791,-0.285,-1.268,37,10,0.0,1.0,9.082,3.687,0.076,True,False,True,True
36,E,2026-06-21 00:00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Ecuador,Curaçao,Ecuador,Curaçao,False,False,589,383,1.4,1.3,0.09999999999999987,0.3,0.3,0.0,23,82,-59,1594.78,1294.65,300.1299999999999,,final_or_near_final,,26.0,,-1.312,1.312,0.875,-1.009,24,10,0.0,0.0,8.068,3.013,0.175,True,False,True,True
67,L,2026-06-27 21:00:00,"MetLife Stadium, East Rutherford",Panama,England,Panama,England,False,False,536,1088,1.7,2.2,-0.5000000000000002,0.5,1.7,-1.2,33,4,29,1540.64,1825.97,-285.3299999999999,final_or_near_final,final_or_near_final,26.0,26.0,1.124,0.382,0.7420000000000001,0.24,-0.927,13,27,1.0,24.0,9.246,3.177,0.041,True,True,True,True
47,L,2026-06-23 23:00:00,"BMO Field, Toronto",Panama,Croatia,Panama,Croatia,False,False,536,394,1.7,2.5,-0.8,0.5,2.1,-1.6,33,11,22,1540.64,1717.07,-176.42999999999984,final_or_near_final,final_or_near_final,26.0,26.0,1.124,0.925,0.19900000000000007,0.40099999999999997,-0.859,13,25,1.0,17.0,9.832,3.222,0.049,True,True,True,True
23,L,2026-06-17 23:00:00,"BMO Field, Toronto",Ghana,Panama,Ghana,Panama,False,False,669,536,1.3,1.7,-0.3999999999999999,0.2,0.5,-0.3,74,33,41,1346.31,1540.64,-194.33000000000015,preliminary_or_reduced,final_or_near_final,28.0,26.0,-1.399,1.124,-2.523,-2.863,1.247,21,13,13.0,1.0,8.867,3.538,0.037,True,True,True,True
53,A,2026-06-25 01:00:00,"Estadio Azteca, Mexico City",Czechia,Mexico,Czech Republic,Mexico,True,False,358,1000,1.6,1.4,0.20000000000000018,0.6,0.1,0.5,41,15,26,1501.38,1681.03,-179.64999999999986,preliminary_or_reduced,preliminary_or_reduced,29.0,51.0,-0.87,1.291,-2.161,-2.48,1.48,10,15,7.0,5.0,10.254,3.749,0.058,True,True,True,True
25,A,2026-06-18 16:00:00,"Mercedes-Benz Stadium, Atlanta",Czechia,South Africa,Czech Republic,South Africa,True,False,358,477,1.6,1.5,0.10000000000000009,0.6,0.4,0.19999999999999996,41,60,-19,1501.38,1429.73,71.65000000000009,preliminary_or_reduced,final_or_near_final,29.0,26.0,-0.87,-1.94,1.0699999999999998,0.8690000000000001,-0.10699999999999998,10,13,7.0,1.0,9.483,3.355,0.149,True,True,True,True
6,B,2026-06-13 19:00:00,"Levi's Stadium, Santa Clara",Qatar,Switzerland,Qatar,Switzerland,False,False,633,882,0.7,2.1,-1.4000000000000001,-1.0,1.7,-2.7,55,19,36,1454.96,1649.4,-194.44000000000005,preliminary_or_reduced,final_or_near_final,28.0,26.0,1.737,0.369,1.368,1.717,-0.41500000000000004,18,21,0.0,23.0,8.678,4.122,0.185,True,True,True,True
17,J,2026-06-16 04:00:00,"Levi's Stadium, Santa Clara",Austria,Jordan,Austria,Jordan,False,False,859,483,2.5,1.7,0.8,2.3,0.5,1.7999999999999998,24,63,-39,1593.45,1391.45,202.0,final_or_near_final,preliminary_or_reduced,26.0,30.0,0.81,0.196,0.6140000000000001,0.45999999999999996,-0.08999999999999997,8,11,18.0,1.0,8.512,3.479,0.056,True,True,True,True
2,A,2026-06-12 02:00:00,"Estadio Akron, Guadalajara",South Korea,Czechia,South Korea,Czech Republic,False,True,1005,358,1.9,1.6,0.2999999999999998,0.3,0.6,-0.3,25,41,-16,1588.66,1501.38,87.27999999999997,final_or_near_final,preliminary_or_reduced,26.0,29.0,0.714,-0.87,1.584,2.024,-1.069,25,10,4.0,7.0,10.095,3.703,0.071,True,True,True,True
27,B,2026-06-18 22:00:00,"BC Place, Vancouver",Canada,Qatar,Canada,Qatar,False,False,467,633,1.7,0.7,1.0,0.7,-1.0,1.7,30,55,-25,1556.48,1454.96,101.51999999999998,preliminary_or_reduced,preliminary_or_reduced,32.0,28.0,0.336,1.737,-1.401,0.043999999999999984,1.74,3,18,8.0,0.0,7.897,4.242,0.17,True,True,True,True
50,B,2026-06-24 19:00:00,"Lumen Field, Seattle",Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,Qatar,True,False,281,633,1.6,0.7,0.9000000000000001,1.0,-1.0,2.0,65,55,10,1385.84,1454.96,-69.12000000000012,final_or_near_final,preliminary_or_reduced,26.0,28.0,-1.13,1.737,-2.867,-0.496,3.7960000000000003,13,18,7.0,0.0,8.247,4.456,0.37,True,True,True,True
41,J,2026-06-22 17:00:00,"AT&T Stadium, Dallas",Argentina,Austria,Argentina,Austria,False,False,1066,859,2.5,2.5,0.0,2.1,2.3,-0.19999999999999973,3,24,-21,1874.81,1593.45,281.3599999999999,preliminary_or_reduced,final_or_near_final,55.0,26.0,2.097,0.81,1.287,2.1799999999999997,-0.44500000000000006,41,8,32.0,18.0,7.706,4.616,0.187,True,True,True,True
71,J,2026-06-28 02:00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Algeria,Austria,Algeria,Austria,False,False,615,859,2.3,2.5,-0.20000000000000018,1.8,2.3,-0.4999999999999998,28,24,4,1564.26,1593.45,-29.190000000000055,,final_or_near_final,,26.0,,0.81,-0.81,0.264,1.055,17,8,0.0,18.0,8.945,4.014,0.076,True,False,True,True
